time , queue density , dynamic density
1226,0.460938,0.00630312
1231,0.462075,0.0110031
1236,0.462547,0.0186187
1241,0.465166,0.0164906
1246,0.464712,0.0154344
1251,0.464303,0.0139437
1256,0.464519,0.0106187
1261,0.460516,0.0165281
1266,0.460194,0.0105562
1271,0.461406,0.00977813
1276,0.463809,0.011725
1281,0.465675,0.0130063
1286,0.465603,0.0153156
1291,0.468044,0.0126031
1296,0.467031,0.00995625
1301,0.468572,0.0093375
1306,0.465269,0.0095625
1311,0.454825,0.0166875
1316,0.455816,0.0111313
1321,0.455872,0.00944688
1326,0.456509,0.00724687
1331,0.457644,0.00540312
1336,0.457163,0.0145656
1341,0.461116,0.012475
1346,0.462697,0.0114719
1351,0.463587,0.0157219
1356,0.4655,0.0188875
1361,0.463062,0.0303531
1366,0.465425,0.0269938
1371,0.463022,0.0230375
1376,0.460884,0.021775
1381,0.457484,0.0204
1386,0.450728,0.0277031
1391,0.450781,0.0212687
1396,0.449553,0.0192531
1401,0.447559,0.0182406
1406,0.447678,0.0154219
1411,0.441316,0.0254656
1416,0.445003,0.0227688
1421,0.446341,0.0271094
1426,0.451103,0.0417031
1431,0.457706,0.0663406
1436,0.461228,0.0938281
1441,0.471103,0.112344
1446,0.476153,0.137506
1451,0.481091,0.165497
1456,0.481953,0.189072
1461,0.470928,0.209209
1466,0.472275,0.219866
1471,0.475306,0.305944
1476,0.475653,0.340122
1481,0.465681,0.340375
1486,0.456259,0.359063
1491,0.455219,0.338238
1496,0.459859,0.346572
1501,0.453178,0.356384
1506,0.445638,0.337519
1511,0.444475,0.329722
1516,0.430391,0.358797
1521,0.414956,0.330738
1526,0.400537,0.338866
1531,0.394619,0.351147
1536,0.389809,0.338772
1541,0.390037,0.320222
1546,0.382047,0.340194
1551,0.381784,0.359025
1556,0.376119,0.345181
1561,0.377028,0.369706
1566,0.386972,0.357203
1571,0.390344,0.369672
1576,0.386322,0.40425
1581,0.39565,0.40115
1586,0.391122,0.406847
1591,0.382097,0.404109
1596,0.364784,0.385937
1601,0.362453,0.392275
1606,0.370466,0.414797
1611,0.356722,0.401628
1616,0.352047,0.38235
1621,0.327922,0.377309
1626,0.314681,0.348775
1631,0.297913,0.338097
1636,0.282066,0.347231
1641,0.266734,0.311219
1646,0.255578,0.294597
1651,0.253441,0.288928
1656,0.257981,0.280488
1661,0.252853,0.287828
1666,0.265931,0.288112
1671,0.280534,0.301459
1676,0.296094,0.303678
1681,0.313734,0.329219
1686,0.328422,0.332284
1691,0.352031,0.324891
1696,0.377891,0.337584
1701,0.393475,0.326825
1706,0.395522,0.308434
1711,0.356403,0.307884
1716,0.339081,0.304522
1721,0.322281,0.299503
1726,0.321716,0.293494
1731,0.313216,0.266172
1736,0.281031,0.292125
1741,0.276728,0.266616
1746,0.273322,0.250616
1751,0.26135,0.297503
1756,0.25715,0.301013
1761,0.2446,0.26545
1766,0.236828,0.243084
1771,0.244059,0.237353
1776,0.23955,0.222291
1781,0.228125,0.204884
1786,0.214644,0.212088
1791,0.202253,0.179959
1796,0.184206,0.1625
1801,0.180156,0.179287
1806,0.17515,0.1716
1811,0.151341,0.196825
1816,0.132091,0.167009
1821,0.124241,0.167391
1826,0.126188,0.165303
1831,0.122719,0.169409
1836,0.120494,0.168331
1841,0.113722,0.144316
1846,0.110006,0.138069
1851,0.0978312,0.110934
1856,0.0887844,0.0998187
1861,0.0940688,0.119475
1866,0.0880875,0.102184
1871,0.106644,0.114325
1876,0.125988,0.127775
1881,0.165147,0.172781
1886,0.1836,0.231556
1891,0.218222,0.270906
1896,0.220981,0.298966
1901,0.246566,0.321641
1906,0.283547,0.348509
1911,0.274216,0.323537
1916,0.265219,0.301887
1921,0.248278,0.2724
1926,0.220112,0.226728
1931,0.204038,0.192253
1936,0.172162,0.173316
1941,0.156572,0.148544
1946,0.143119,0.134337
1951,0.121925,0.117584
1956,0.0917219,0.0861281
1961,0.0660188,0.0701469
1966,0.0445719,0.0454937
1971,0.0242531,0.0277344
1976,0.0126219,0.0152781
1981,0.0136719,0.014375
1986,0.0139156,0.0215063
1991,0.0137125,0.0166563
1996,0.0126781,0.0144563
2001,0.0203531,0.0233656
2006,0.081275,0.0887469
2011,0.0779781,0.176262
2016,0.0874375,0.227687
2021,0.0888125,0.243131
2026,0.110756,0.260078
2031,0.146341,0.256194
2036,0.147997,0.218181
2041,0.14165,0.175363
2046,0.14195,0.150759
2051,0.134859,0.155003
2056,0.103362,0.123306
2061,0.082675,0.105759
2066,0.0612437,0.0748344
2071,0.0418344,0.048425
2076,0.0260469,0.0266281
2081,0.0129938,0.0133781
2086,0.0118812,0.0134469
